full_text,label
Presiden Prabowo Subianto tiba di Pangkalan Militer Angkatan Udara Grupo 8 Alar Bandara Internasional Jorge Chavez Lima Peru Rabu (1 1/1 1/2 2 20 20) sekitar pukul 2 2.3 3 waktu setempat. fuEiWGs f6 uEiWGs f6 uEiWGs,neutral
Saya rasa berlebihan jika menyerang individu dg kata atau candaan yg keterlaluan,neutral
DPR Minta Tiga Lembaga Penegak Hukum Jalankan Instruksi Presiden,positive
Dunia antah berantah aJ a aJqJwTTc,neutral
baru kali ini ada wakil presiden sibuk kampanye setelah di lantik.,negative
perut ku sakit sangat by butuh perbaikan gizi mau honu sama boost by,neutral
Presiden Prabowo berkomitmen penuh untuk memberantas narkoba hingga ke akarnya xzkxIWzR 4 xzkxIWzR,positive
Mungkin maksudnya Lewat komunikasi keluarga diminta membantu mencarikan pekerjaan lewat jalur orang dalam. Kayak Wakil Presiden contohnya?,negative
Aku juga mau by tapi tambah nasi padang ya lauknya aja gapapa kok hehe trims,neutral
Pantes utang sampi 6 6 60 60 triliun gegara presiden suka utang agar terlihat sukses membangun negeri ini.,negative
Percuma juga pejabat pejabat yg jadi anjhing nya si ivan itu kgk bakal diusut,negative
Kalau ini gimana su? Presiden apa Ketua Partai koq kampanye buat dirinya sendiri zRbJMzuZG,negative
Mau hokben ndut,neutral
Kalo pak sampe sowan lagi ke jokowi sih bukan matahari kembar. Jokowi matahari prabowo bulan,neutral
Itu ruangan simbiosis mutualisme.,neutral
Mensesneg Beberkan Program Lapor Mas Wapres Inisiatif Gibran Bukan Arahan Presiden Prabowo - Riaunews,neutral
Kelakuan presiden sebelumnya siapa hayo ? di buat acuan presiden sekarang dan kedepan jangan ikut campur biarkan putra putri bangsa menunjukkan kwalitasnya di depan rakyat calon calon bupati walikota gubernur kompetisi secara sehat biar tidak menja,positive
momentum pas ini narkoba judol mau di bumi hanguskan. kalo nyerempet ya makin seru. cepat atau lambat pak akan tau,negative
Prabowo berkomitmen jaga ketahanan energi nasional dengan teknologi dan energi ramah lingkungan ARIvWibZI,positive
Memang Prabowo lebih bagus dr Jokowi bahasa inggris nya memang Gibran spt itu layaknya,positive
Peningkatan lifting minyak dan bahan bakar nabati strategi Prabowo untuk energi berkelanjutan WzpnnetQm,positive
2. Bayangjan Wakil presiden Ma'ruf Amin diam ketika kampungnya mau digusur. Sawah tambak kampungnya Ma'ruf Amin itu ditawar hanya Rp Rp Rp.0 0 0 per meter. Kampung wakil presiden tidak kuasa melawan oligarki. yitwENutA,negative
