full_text,label
Presiden Prabowo Subianto tiba di Pangkalan Militer Angkatan Udara Grupo 8 Alar Bandara Internasional Jorge Chavez Lima Peru Rabu (13/11/2024) sekitar pukul 22.35 waktu setempat. https://t.co/igrMRnwuFJ https://t.co/f6uEiWGs91,neutral
@sedaryut73015 @DokterTifa @prabowo Saya rasa berlebihan jika menyerang individu dg kata atau candaan yg keterlaluan,neutral
DPR Minta Tiga Lembaga Penegak Hukum Jalankan Instruksi Presiden https://t.co/jSwntGKNeL,positive
@jmelive @BANGSAygSUJUD @prabowo @99propaganda @adri_zizie @AlmaghribiS @EricRicaldo @are_inismyname @florieliciouss @Ndons_Back @tonybulumanu @Lembayung071 @Kimberley_PS08 Dunia antah berantah https://t.co/a8J8qJwTTc,neutral
@alvinlie21 baru kali ini ada wakil presiden sibuk kampanye setelah di lantik.,negative
perut ku sakit bgt by butuh perbaikan gizi mau honu sama boost by @prabowo,neutral
Presiden Prabowo berkomitmen penuh untuk memberantas narkoba hingga ke akarnya #IndonesiaEmas #PrabowoSubianto #PresidenPrabowo #BerantasNarkoba #IndonesiaMaju https://t.co/4xzkxIWzR7,positive
Mungkin maksudnya Lewat komunikasi keluarga diminta membantu mencarikan pekerjaan lewat jalur orang dalam. Kayak Wakil Presiden contohnya?,negative
Aku juga mau by @prabowo tapi tambah nasi padang ya lauknya aja gapapa kok hehe trims,neutral
@CNNIndonesia Pantes utang sampi 6000 triliun gegara presiden suka utang agar terlihat sukses membangun negeri ini.,negative
@gintam22 @LexWu_13 @prabowo Percuma juga pejabat2 yg jadi anjhing nya si ivan itu kgk bakal diusut,negative
@JhonSitorus_18 @adianradiatus Kalau ini gimana su? Presiden apa Ketua Partai koq kampanye buat dirinya sendiri https://t.co/z0RbJMzuZG,negative
@klisedai @prabowo Mau hokben ndut,neutral
@alvinlie21 Kalo pak @prabowo sampe sowan lagi ke jokowi sih bukan matahari kembar. Jokowi matahari prabowo bulan,neutral
@LexWu_13 @PolrestabesSby @prabowo @ListyoSigitP Itu ruangan simbiosis mutualisme.,neutral
Mensesneg Beberkan Program Lapor Mas Wapres Inisiatif Gibran Bukan Arahan Presiden Prabowo - Riaunews https://t.co/niOXYrJJss,neutral
@tempodotco Kelakuan presiden sebelumnya siapa hayo ? di buat acuan presiden sekarang dan kedepan jangan ikut campur biarkan putra putri bangsa menunjukkan kwalitasnya di depan rakyat calon2 bupati walikota gubernur kompetisi secara sehat biar tidak menja,positive
@LexWu_13 @prabowo momentum pas ini narkoba judol mau di bumi hanguskan. kalo nyerempet ya makin seru. cepat atau lambat pak @prabowo akan tau,negative
Prabowo berkomitmen jaga ketahanan energi nasional dengan teknologi dan energi ramah lingkungan #IndonesiaEmas #IndonesiaMaju #KetahananEnergi #SwasembadaEnergi #PresidenPrabowo #DukungPrabowo #ProgramPresiden https://t.co/ARI1vWibZI,positive
@adri_zizie @prabowo @gibran_tweet @jokowi Memang Prabowo lebih bagus dr Jokowi bahasa inggris nya memang Gibran spt itu layaknya,positive
Peningkatan lifting minyak dan bahan bakar nabati strategi Prabowo untuk energi berkelanjutan #IndonesiaEmas #IndonesiaMaju #KetahananEnergi #SwasembadaEnergi #PresidenPrabowo #DukungPrabowo #ProgramPresiden https://t.co/Wz9pnnetQm,positive
2. Bayangjan Wakil presiden Ma'ruf Amin diam ketika kampungnya mau digusur. Sawah tambak kampungnya Ma'ruf Amin itu ditawar hanya Rp30.000 per meter. Kampung wakil presiden tidak kuasa melawan oligarki. #AdiliJokoWidodo #AdiliJokoWidodo https://t.co/yitwEN8utA,negative
Langkah konkret Prabowo: konversi kendaraan dan bahan bakar nabati demi ketahanan energi Indonesia #IndonesiaEmas #IndonesiaMaju #KetahananEnergi #SwasembadaEnergi #PresidenPrabowo #DukungPrabowo #ProgramPresiden https://t.co/4Zj9PWZ7Ga,positive
@N0vemberia @RitaHanZa @54h4b4tl4m4 @anaksaayana @bukan__siapa2 @dadyabo @DeynaWolfQueen @DestaMega27 @heru1021 @KheyL4_8 @malagreta https://t.co/PjZAlAwrx1,neutral
@Minietweets_ @prabowo @gibran_tweet @0ctoberR1 @abby6mei @mimih6mei @BANGSAygSUJUD @mas_veel @gtobing2903 @99propaganda @adri_zizie @tham878 @KEBUMENinLOVE Semua orang juga tahu korupsi itu jahat &amp,neutral
Presiden Prabowo siapkan masa depan energi Indonesia melalui inovasi konversi kendaraan dan energi terbarukan #IndonesiaEmas #IndonesiaMaju #KetahananEnergi #SwasembadaEnergi #PresidenPrabowo #DukungPrabowo #ProgramPresiden https://t.co/3A4t2lZWVC,positive
Dengan strategi lifting minyak dan bahan bakar nabati Prabowo bertekad wujudkan ketahanan energi #IndonesiaEmas #IndonesiaMaju #KetahananEnergi #SwasembadaEnergi #PresidenPrabowo #DukungPrabowo #ProgramPresiden https://t.co/ukaVmsocHg,positive
@msaid_didu masih centang siji Pak https://t.co/2PgAatgKHW,neutral
@Mdy_Asmara1701 Respect pak Presiden Direspect sama wapres,neutral
@angun_1892 @LexWu_13 @PolrestabesSby @prabowo @ListyoSigitP @prabowo,neutral
@vanc1Bozz @jokowi @prabowo getah busuk kok diberlanjutkan bukannya manis hasilnya yg ada malah belepotan getah busuk sepenjuru negeri ini naudzubillahi min dzalik.,negative
Smoga pak @prabowo tetap menjadi macan asia bahkan dunia...,positive
Bersama Prabowo mari dukung pemberantasan korupsi untuk masa depan bangsa yang lebih transparan #PemberantasanKorupsi #BerantasKorupsi #PrabowoBerantasKorupsi #AstaCita https://t.co/DsUca7N00U,positive
@angun_1892 @LexWu_13 @PolrestabesSby @prabowo @ListyoSigitP @ListyoSigitP @ahriesonta,neutral
@UmarSyadatHsb__ Kemana Harga diri presiden,neutral
Presiden Prabowo Akan Mewujudkan Swasembada Pangan dengan Peningkatan Produktivitas Pertanian #TerimaKasihPresidenPrabowo #PresidenPrabowo #VisiPresidenPrabowo #IndonesiaTanpaImpor #KetahananPangan #SwasembadaPangan https://t.co/CnmrOosmox,positive
@Gank_Of_Petojo Mungkin ada satu anak hebat saat SD bisa coding tapi jangan semua anak disamaratakan se wow itu Sperti juga Tak semua lulusan esempeh bisa jadi wapres seperti dia kan? Itu butuh kondisi tertentu Seperti : anak lulusan esempeh itu punya bap,neutral
@KemensetnegRI #PresidenRI #Prabowo #PresidenPrabowoSubianto #SjafrieSjamsoeddin #MenhanRI #WamenhanRI #KemensetnegRI #KabinetMerahPutih #Kemhan #ATRBPNMajudanModern #KemhanRI,neutral
